f{Const}{?}	h{Const}{1.0}
f{Const}{?}	m{Const}{2.0}
k{Eq}{?}	d{}{?}
k{Eq}{?}	e{}{?}
g{Const}{?}	h{Const}{1.0}
g{Const}{?}	l{Const}{3.0}
g{Const}{?}	m{Const}{2.0}
p{Const|Add}{?}	e{}{?}
p{Const|Add}{?}	o{Const}{1.0}
r{Const|Add|Ne}{?}	d{}{?}
r{Const|Add|Ne}{?}	e{}{?}
r{Const|Add|Ne}{?}	o{Const}{1.0}
s{Const}{?}	h{Const}{1.0}
s{Const}{?}	m{Const}{2.0}
t{Const}{?}	h{Const}{1.0}
t{Const}{?}	l{Const}{3.0}
t{Const}{?}	m{Const}{2.0}
